,sex,age_class,definition,need,purpose,interest,comp,triangle1,triangle2,doubleness1,doubleness2,doubleness3
51,Male,20,harmony,harmony,clothes,3,1,1,3,1,5,5
52,Female,20,harmony,harmony,clothes,4,1,4,1,1,2,2
53,Female,20,bright,bright,clothes,4,5,5,2,2,1,5
54,Female,20,harmony,harmony,etc,3,5,3,2,3,5,2
55,Male,20,harmony,harmony,clothes,3,5,4,5,4,3,3
56,Female,20,harmony,harmony,etc,3,1,4,3,3,1,2
57,Female,20,bright,bright,cosmetic,3,1,3,1,1,4,2
58,Female,20,harmony,harmony,clothes,3,1,5,2,3,2,5
59,Female,50,harmony,harmony,clothes,3,2,4,4,4,4,4
60,Female,20,harmony,bright,etc,3,2,1,3,1,1,3
61,Female,20,harmony,harmony,clothes,3,3,2,3,5,1,3
62,Male,20,harmony,harmony,clothes,2,1,5,4,4,1,3
63,Female,20,bright,bright,etc,3,5,2,5,2,2,1
64,Female,20,harmony,bright,cosmetic,4,3,4,4,1,4,1
65,Female,20,harmony,harmony,cosmetic,5,1,4,5,1,1,1
66,Female,20,harmony,harmony,clothes,5,1,4,2,2,5,1
67,Female,20,harmony,harmony,etc,5,1,4,5,2,1,5
68,Male,20,harmony,harmony,clothes,2,1,3,4,2,3,2
69,Male,20,harmony,harmony,clothes,2,2,1,3,1,4,2
70,Female,20,bright,bright,etc,5,2,2,2,1,3,5
71,Female,20,bright,bright,etc,4,3,4,4,4,5,5
72,Male,30,harmony,harmony,clothes,3,4,1,1,3,2,2
73,Female,20,harmony,harmony,clothes,3,3,5,1,1,1,5
74,Female,20,bright,bright,clothes,3,1,4,5,2,1,1
75,Male,20,harmony,harmony,clothes,5,1,3,2,1,3,5
76,Female,20,harmony,bright,cosmetic,4,5,1,2,3,1,1
77,Female,40,bright,bright,etc,3,5,1,4,1,4,4
78,Female,20,harmony,harmony,etc,2,3,5,2,5,1,5
79,Female,50,bright,harmony,etc,4,3,2,3,2,2,3
80,Female,20,harmony,harmony,cosmetic,4,1,3,3,2,4,5
81,Male,20,harmony,harmony,clothes,5,5,1,4,2,1,3
82,Male,20,harmony,harmony,clothes,2,4,1,4,5,3,3
83,Female,40,bright,bright,cosmetic,5,2,4,3,2,5,1
84,Male,20,harmony,harmony,etc,5,5,1,2,1,5,5
85,Female,20,harmony,harmony,etc,2,1,4,2,2,1,5
86,Male,20,harmony,bright,clothes,4,5,4,2,2,1,4
87,Male,20,harmony,harmony,clothes,3,3,2,2,3,2,5
88,Female,20,harmony,harmony,etc,3,4,3,5,4,3,1
89,Female,20,bright,bright,etc,2,4,2,1,2,2,5
90,Female,20,harmony,harmony,etc,3,5,5,4,2,3,5
91,Female,20,harmony,harmony,clothes,3,2,4,3,1,5,4
92,Female,20,harmony,harmony,etc,3,5,4,1,1,1,4
93,Female,20,harmony,bright,cosmetic,4,1,3,4,4,2,3
94,Female,20,harmony,bright,clothes,5,4,5,1,5,1,2
95,Female,20,harmony,harmony,etc,4,1,1,1,1,1,4
96,Female,20,harmony,harmony,etc,4,1,4,4,4,1,1
97,Female,30,harmony,harmony,cosmetic,3,1,4,4,4,2,5
98,Male,20,harmony,bright,clothes,4,2,4,3,2,1,1
99,Female,20,harmony,harmony,cosmetic,4,5,1,1,3,1,1
100,Female,20,bright,bright,etc,4,1,4,1,1,1,4
101,Male,20,harmony,harmony,clothes,4,3,2,3,3,5,2
102,Female,20,bright,bright,etc,4,4,2,1,1,2,2
103,Female,20,harmony,harmony,cosmetic,4,1,4,2,4,1,5
104,Female,10,harmony,harmony,etc,3,3,3,1,5,4,2
105,Female,30,bright,bright,cosmetic,1,2,2,2,3,4,1
106,Female,20,bright,bright,etc,4,1,5,5,2,1,3
107,Female,20,harmony,harmony,etc,5,2,1,1,4,2,5
108,Female,10,harmony,bright,etc,5,4,3,1,3,3,2
109,Male,20,harmony,bright,clothes,4,2,5,3,5,5,1
110,Female,10,bright,bright,etc,4,1,4,3,2,5,4
111,Male,20,harmony,harmony,clothes,4,1,4,5,3,4,5
112,Female,20,harmony,harmony,cosmetic,3,3,1,2,2,4,4
113,Male,20,harmony,bright,clothes,3,1,5,2,1,4,1
114,Female,40,harmony,harmony,cosmetic,2,3,2,2,2,3,5
115,Male,20,harmony,harmony,clothes,2,3,3,2,3,2,5
116,Female,20,bright,harmony,clothes,4,5,3,3,5,2,5
117,Female,20,harmony,harmony,etc,4,1,4,5,2,4,1
118,Female,20,harmony,bright,etc,3,4,5,3,2,4,3
119,Female,20,bright,harmony,cosmetic,4,5,3,1,3,1,1
120,Female,20,bright,bright,etc,3,3,3,3,2,1,4
121,Female,20,harmony,harmony,etc,4,5,4,3,3,2,3
122,Female,20,harmony,harmony,etc,4,2,1,2,5,3,2
123,Female,20,harmony,bright,clothes,4,1,4,4,4,1,4
124,Female,20,harmony,harmony,etc,5,1,5,3,2,4,3
125,Female,20,harmony,bright,clothes,3,4,3,2,2,2,5
126,Female,30,harmony,harmony,etc,5,3,4,4,1,1,5
127,Female,20,harmony,harmony,etc,4,1,3,2,5,2,2
128,Female,20,bright,bright,etc,5,2,2,5,5,4,4
129,Female,20,harmony,harmony,cosmetic,4,2,1,2,4,5,3
130,Male,20,harmony,harmony,etc,1,4,3,2,5,2,3
131,Female,20,harmony,bright,cosmetic,3,4,5,1,2,4,5
132,Female,20,harmony,harmony,cosmetic,3,2,3,5,2,2,2
133,Female,30,harmony,bright,etc,4,1,3,5,4,4,3
134,Male,20,bright,harmony,clothes,5,1,3,1,1,1,4
135,Female,20,bright,bright,etc,5,2,4,3,5,4,1
136,Female,20,harmony,bright,clothes,3,5,3,1,2,2,5
137,Male,30,harmony,harmony,clothes,3,1,5,1,2,2,3
138,Male,20,harmony,harmony,clothes,4,5,3,3,1,2,4
139,Male,10,harmony,bright,clothes,2,3,2,5,2,1,5
140,Female,30,harmony,harmony,clothes,2,1,3,2,1,2,2
141,Male,20,bright,bright,clothes,4,3,5,3,2,4,1
142,Female,20,bright,bright,etc,5,1,5,4,2,1,3
143,Male,20,harmony,harmony,clothes,1,1,5,4,2,2,5
144,Female,20,harmony,harmony,etc,3,1,5,1,1,3,3
145,Male,20,harmony,bright,clothes,2,1,1,2,1,1,2
146,Female,20,harmony,bright,cosmetic,3,4,4,1,2,1,1
147,Male,20,harmony,harmony,clothes,3,5,5,3,5,2,1
148,Male,20,harmony,harmony,clothes,5,2,5,3,5,2,2
149,Female,20,harmony,harmony,etc,3,4,5,4,2,2,4
150,Male,20,harmony,harmony,clothes,4,3,2,3,5,3,2
151,Female,30,harmony,bright,cosmetic,2,5,3,3,2,4,3
152,Female,20,bright,bright,clothes,4,2,4,3,2,2,3
153,Male,20,harmony,bright,clothes,3,1,4,5,4,1,3
154,Female,20,harmony,harmony,etc,4,4,2,3,5,4,2
155,Female,20,harmony,harmony,etc,3,2,3,5,3,4,2
156,Female,20,harmony,harmony,etc,5,3,5,3,5,2,3
157,Female,20,harmony,harmony,cosmetic,4,5,4,4,4,2,4
158,Female,20,harmony,bright,cosmetic,3,5,1,1,1,4,5
159,Female,20,harmony,bright,cosmetic,3,1,2,3,2,1,4
160,Female,10,harmony,harmony,etc,4,3,3,2,5,5,5
161,Female,30,bright,bright,etc,4,3,2,2,4,1,3
162,Female,30,harmony,bright,cosmetic,3,5,1,1,4,1,4
163,Female,30,harmony,harmony,cosmetic,4,3,3,5,2,1,3
164,Female,20,harmony,harmony,clothes,3,5,4,3,4,5,3
165,Female,20,harmony,harmony,clothes,3,1,2,2,2,4,3
166,Female,20,harmony,harmony,etc,3,2,1,1,3,1,2
167,Female,10,bright,bright,cosmetic,4,2,4,3,4,2,3
168,Female,20,harmony,harmony,etc,4,5,4,1,3,3,2
169,Male,20,harmony,harmony,clothes,5,2,3,3,5,3,5
170,Female,20,harmony,harmony,etc,1,3,4,1,2,1,5
171,Female,20,harmony,harmony,clothes,4,2,1,1,2,4,3
172,Female,10,harmony,harmony,etc,4,5,5,5,2,5,5
173,Female,20,harmony,harmony,etc,3,3,5,3,5,4,2
174,Female,20,harmony,harmony,etc,4,1,2,3,1,1,5
175,Male,20,bright,bright,clothes,3,5,3,1,5,2,5
176,Male,20,harmony,harmony,clothes,2,2,5,4,3,2,5
177,Male,20,harmony,harmony,cosmetic,3,2,3,3,5,2,2
178,Female,20,harmony,harmony,clothes,5,5,4,5,4,1,3
179,Male,20,harmony,harmony,clothes,4,3,3,3,2,2,2
180,Female,30,harmony,harmony,etc,1,2,3,3,5,4,1
181,Female,10,harmony,harmony,clothes,2,4,1,1,3,4,2
182,Male,20,harmony,harmony,clothes,5,3,1,3,4,1,5
183,Female,30,harmony,bright,etc,4,3,3,4,5,3,1
184,Male,20,bright,bright,clothes,5,3,2,3,4,2,3
185,Male,30,bright,bright,clothes,3,3,4,5,2,5,4
186,Female,20,harmony,bright,etc,3,1,4,2,4,5,3
187,Male,20,harmony,harmony,clothes,3,1,4,3,4,1,3
188,Female,20,harmony,bright,etc,5,5,4,5,5,4,3
189,Male,20,harmony,harmony,clothes,4,1,2,4,3,3,5
190,Female,30,bright,bright,clothes,3,3,5,4,2,5,5
191,Female,20,harmony,harmony,etc,4,3,3,3,3,3,4
192,Female,30,harmony,harmony,clothes,1,3,1,3,2,2,1
193,Male,20,harmony,harmony,clothes,3,5,1,3,5,3,4
194,Female,20,harmony,bright,etc,3,1,4,5,1,3,1
195,Female,20,harmony,harmony,clothes,3,2,4,4,2,4,4
196,Female,20,harmony,harmony,cosmetic,4,1,4,5,4,5,4
197,Male,20,harmony,harmony,clothes,2,2,1,2,4,1,3
198,Female,20,harmony,harmony,etc,4,1,3,4,2,4,4
199,Female,20,harmony,harmony,etc,4,1,4,5,2,1,5
200,Female,50,harmony,harmony,etc,4,3,3,5,1,4,5
201,Female,50,harmony,harmony,etc,5,2,1,5,5,4,3
202,Female,20,harmony,harmony,clothes,2,2,3,4,2,5,2
203,Female,50,bright,bright,cosmetic,3,1,1,1,1,1,1
204,Female,50,harmony,harmony,cosmetic,5,4,2,1,5,3,3
205,Female,50,bright,bright,clothes,3,4,5,2,2,2,5
206,Female,30,harmony,harmony,cosmetic,4,4,2,2,4,1,3
207,Female,50,harmony,harmony,clothes,4,5,3,5,5,4,1
208,Male,30,harmony,bright,cosmetic,2,1,4,5,2,4,3
209,Female,20,bright,harmony,etc,4,3,4,4,2,4,4
210,Female,20,bright,harmony,etc,4,4,5,4,1,2,5
211,Male,20,bright,harmony,clothes,2,3,2,5,4,5,5
212,Female,20,harmony,bright,clothes,3,2,5,5,4,2,1
